### SNIa toy model generated with mk_snia_toy_model.py version 2018-06-22
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9811e+50 erg (1.0000e+51 requested)
# nzones =  807 ; cell size dvel = 5.0000e+01 km/s ; Vmax = 4.0325e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 2.00 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 0.10, 0.90
# M(56Ni,t=0) = 5.9995e-01 Msun (6.0000e-01 requested)
# M(IME) = 3.9995e-01 Msun (4.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 0.50, 0.50
# dM(IGE,56Ni,IME) = 0.00, 0.40, 0.00 Msun; transition profile = cosine
# ni56 weighted, average column density=4.39e+14 g cm^-2 s^2; t0_gamma=38.34 day

#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) IGE mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt CO mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS: (14) X_Ni includes X_56Ni; (15) X_Co = X_56Co; (16) X_Fe includes 56Fe from 56Co decay
#
idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
   1 2.5000e+01 8.4784e-07 8.4784e-07 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3200e+11 6.2419e-10 1.2532e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   2 7.5000e+01 5.8477e-06 6.6955e-06 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2960e+12 6.1502e-10 1.2486e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   3 1.2500e+02 1.5612e-05 2.2307e-05 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1600e+12 6.0492e-10 1.2434e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   4 1.7500e+02 2.9891e-05 5.2198e-05 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0240e+12 5.9475e-10 1.2382e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   5 2.2500e+02 4.8444e-05 1.0064e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8880e+12 5.8468e-10 1.2329e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   6 2.7500e+02 7.1039e-05 1.7168e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7520e+12 5.7473e-10 1.2276e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   7 3.2500e+02 9.7453e-05 2.6913e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6160e+12 5.6493e-10 1.2224e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   8 3.7500e+02 1.2747e-04 3.9660e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4800e+12 5.5529e-10 1.2171e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   9 4.2500e+02 1.6088e-04 5.5748e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3440e+12 5.4581e-10 1.2119e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
